433.milc,433.milc_150,3,11,1,3,4,19,1,1,2,0,0,9,0
433.milc,433.milc_151,3,10,0,3,5,21,0,1,1,0,0,9,0
433.milc,433.milc_152,2,29,0,11,8,56,2,1,1,0,0,19,0
433.milc,433.milc_153,1,4,0,2,2,6,0,0,4,0,0,2,0
433.milc,433.milc_154,1,8,0,3,3,14,0,1,1,0,0,5,0
433.milc,433.milc_155,3,27,2,1,24,61,0,0,4,0,0,36,0
433.milc,433.milc_156,3,33,2,1,24,67,6,0,4,0,0,42,0
433.milc,433.milc_157,2,38,0,11,14,60,8,2,5,0,0,33,0
433.milc,433.milc_158,1,10,0,5,2,14,1,1,1,0,0,6,0
433.milc,433.milc_159,3,27,2,1,24,61,0,0,4,0,0,36,0
433.milc,433.milc_160,3,33,2,1,24,67,6,0,4,0,0,42,0
433.milc,433.milc_161,2,35,0,11,12,58,7,2,5,0,0,30,0
433.milc,433.milc_162,1,10,0,5,2,14,1,1,1,0,0,6,0
433.milc,433.milc_163,1,37,0,10,12,55,7,2,1,0,0,28,0
433.milc,433.milc_164,2,4,0,1,2,12,0,0,5,0,0,5,0
433.milc,433.milc_165,2,7,0,1,4,14,1,0,5,0,0,8,0
433.milc,433.milc_166,2,29,0,4,14,52,8,1,1,0,0,31,0
433.milc,433.milc_167,2,26,0,4,10,50,6,1,1,0,0,30,0
433.milc,433.milc_168,1,274,30,14,140,531,65,2,1,0,0,306,0
433.milc,433.milc_169,1,6,0,3,0,11,0,1,5,0,0,5,0
433.milc,433.milc_170,2,44,2,3,22,86,8,1,5,0,0,54,0
433.milc,433.milc_171,1,10,0,5,2,14,1,1,1,0,0,6,0
433.milc,433.milc_172,2,20,0,1,10,38,6,0,5,0,0,24,0
433.milc,433.milc_173,2,4,0,1,2,7,0,0,5,0,0,4,0
433.milc,433.milc_174,3,33,0,7,15,52,6,2,1,0,0,31,0
433.milc,433.milc_175,3,17,0,4,8,30,2,1,1,0,0,17,0
433.milc,433.milc_176,2,57,0,12,23,102,7,2,5,0,0,54,0
433.milc,433.milc_177,1,12,1,4,2,51,0,0,3,0,0,8,0
433.milc,433.milc_178,1,17,2,6,2,39,0,3,-1,0,0,15,0
433.milc,433.milc_179,1,0,0,0,0,0,0,0,1,0,0,0,0
433.milc,433.milc_180,2,15,0,1,12,39,0,0,4,0,0,18,0
433.milc,433.milc_181,1,2,0,2,0,2,0,0,1,0,0,0,0
433.milc,433.milc_182,2,47,2,1,40,125,2,0,4,0,0,64,0
433.milc,433.milc_183,1,16,0,2,8,30,4,0,1,0,0,16,0
433.milc,433.milc_184,4,39,0,4,18,88,8,1,4,0,0,47,0
433.milc,433.milc_185,3,2,0,2,0,2,0,0,4,0,0,0,0
433.milc,433.milc_186,2,2,0,2,0,2,0,0,5,0,0,0,0
433.milc,433.milc_187,1,2,0,2,0,2,0,0,1,0,0,0,0
433.milc,433.milc_188,4,17,0,1,9,40,3,0,4,0,0,21,0
433.milc,433.milc_189,3,2,0,2,0,2,0,0,4,0,0,0,0
433.milc,433.milc_190,2,68,0,2,50,158,12,0,5,0,0,78,0
433.milc,433.milc_191,1,2,0,2,0,2,0,0,1,0,0,0,0
433.milc,433.milc_192,1,12,0,3,3,30,0,1,1,0,0,7,0
433.milc,433.milc_193,1,12,0,3,3,30,0,1,1,0,0,7,0
433.milc,433.milc_194,1,8,0,3,0,19,0,1,1,0,0,2,0
433.milc,433.milc_195,1,8,0,2,4,16,0,1,-1,0,0,7,0
433.milc,433.milc_196,1,58,0,14,16,115,8,3,1,0,0,55,0
433.milc,433.milc_197,1,11,0,1,8,19,0,0,1,0,0,10,0
433.milc,433.milc_198,1,39,0,15,4,81,4,1,-1,0,0,23,0
433.milc,433.milc_199,1,8,0,3,2,16,0,1,1,0,0,6,0
433.milc,433.milc_200,1,4,0,1,3,9,0,0,1,0,0,4,0
433.milc,433.milc_201,5,10,0,1,5,22,3,0,5,0,0,12,0
433.milc,433.milc_202,5,33,0,5,12,63,4,1,145,0,0,38,0
433.milc,433.milc_203,4,92,0,24,20,188,13,2,1,0,0,95,0
433.milc,433.milc_204,3,7,0,2,0,7,0,0,1,0,0,5,0
433.milc,433.milc_205,2,7,0,2,0,7,0,0,1,0,0,5,0
433.milc,433.milc_206,1,7,0,2,0,7,0,0,1,0,0,5,0
433.milc,433.milc_207,1,5,0,1,3,11,0,0,5,0,0,5,0
433.milc,433.milc_208,1,24,0,7,8,61,2,1,5,0,0,24,0
433.milc,433.milc_209,1,16,0,3,7,40,2,1,1,0,0,18,0
433.milc,433.milc_210,1,5,0,1,3,11,0,0,5,0,0,5,0
433.milc,433.milc_211,1,5,0,1,3,11,0,0,5,0,0,5,0
433.milc,433.milc_212,1,6,0,1,5,13,0,0,5,0,0,8,0
433.milc,433.milc_213,2,31,0,5,10,57,4,1,145,0,0,38,0
433.milc,433.milc_214,1,135,0,24,41,254,21,3,1,0,0,143,0
433.milc,433.milc_215,3,9,0,1,6,16,1,0,13,0,0,12,0
433.milc,433.milc_216,4,26,0,1,18,63,0,0,4,0,0,39,0
433.milc,433.milc_217,3,2,0,2,0,2,0,0,4,0,0,0,0
433.milc,433.milc_218,2,8,0,3,3,14,0,0,5,0,0,6,0
433.milc,433.milc_219,2,31,0,5,10,57,4,1,145,0,0,38,0
433.milc,433.milc_220,1,98,0,18,27,187,15,2,1,0,0,102,0
433.milc,433.milc_221,1,26,0,1,13,44,4,0,1,0,0,30,0
433.milc,433.milc_222,4,33,0,5,12,63,4,1,145,0,0,38,0
433.milc,433.milc_223,6,13,0,1,12,33,0,0,4,0,0,18,0
433.milc,433.milc_224,5,2,0,2,0,2,0,0,4,0,0,0,0
433.milc,433.milc_225,4,2,0,2,0,2,0,0,4097,0,0,0,0
433.milc,433.milc_226,3,155,0,19,52,301,29,3,1,0,0,177,0
433.milc,433.milc_227,2,3,0,2,0,3,0,0,1,0,0,1,0
433.milc,433.milc_228,1,4,0,2,0,4,0,0,1,0,0,1,0
433.milc,433.milc_229,3,13,0,1,12,33,0,0,4,0,0,18,0
433.milc,433.milc_230,2,2,0,2,0,2,0,0,4,0,0,0,0
433.milc,433.milc_231,1,2,0,2,0,2,0,0,4097,0,0,0,0
433.milc,433.milc_232,2,33,0,5,12,63,4,1,145,0,0,38,0
433.milc,433.milc_233,1,47,0,7,14,89,9,2,1,0,0,46,0
433.milc,433.milc_234,4,31,0,5,10,57,4,1,145,0,0,38,0
433.milc,433.milc_235,3,193,0,25,76,376,35,4,1,0,0,212,0
433.milc,433.milc_236,2,6,0,2,0,6,0,0,1,0,0,4,0
433.milc,433.milc_237,1,7,0,2,0,7,0,0,1,0,0,4,0
433.milc,433.milc_238,5,10,0,1,5,22,3,0,5,0,0,12,0
433.milc,433.milc_239,7,17,0,3,10,46,0,1,4,0,0,21,0
433.milc,433.milc_240,6,2,0,2,0,2,0,0,4,0,0,0,0
